"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=C[CX4]C(=O)[OH]",beta gamma unsaturated carboxylic acid,
[CX4]([OH])[CX4]C(=O)[OH],beta hydroxy carboxylic acid,
"[CX4]([Cl,Br,I])[CX4]C(=O)[OH]",beta halogen carboxylic acid,
[#6]C(=O)[CX4]C(=O)[OH],beta ketone carboxylic acid,
"[#6]C(=O)[CX4]C(=O)O[$([#6]);!$(C=[O,S,N])]",beta_keto_ester,
"[$([NH2]),$([NH][c,CX4]),$(N([c,CX4])[c,CX4])]C(=O)O[$([#6]);!$(C=[O,S,N])]",carbamate,
"[$([NH2]),$([NH][c,CX4]),$(N([c,CX4])[c,CX4])]C(=O)[OH]",carbamic_acid,
"O([CX4,c])C(=O)O[CX4,c]",carbonate,
"[$([CX4,c][CH]=O),$([CX4,c]C(=O)[CX4,c])]",carbonyl,
"ClC(=O)O[CX4,c]",chloroformate,
"[CX4,c]-C#N",carbo nitrile,
N[CX4]C(=O)N[CX4]C(=O),dipeptide,
[S;D2]-[S;D2],disulphide,
"[$([S;D2]([CX4,c])!@[CH,CH2]!@[S;D2][CX4,c])]",dithioacetal,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=[$([CX3][$([NH2]),$([NH][CX4]),$([N;R0]([CX4])[CX4])]);!$(CC=[O,S,N]);!$(C[O,S])]",enamine,
"[$([CX3]C(=O)[CX4,c]);!$(CC=[S,N]);!$(C[O,S,N])]=[$([CX3]C(=O)[CX4,c]);!$(CC=[S,N]);!$(C[N,S])]",enedione,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=[$([CX3][OH]);!$(CC=[O,S,N]);!$(C[N,S])]",enol,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=[$([CX3]O[CX4]);!$(CC=[O,S,N]);!$(C[N,S])]",enol ether,
O1[CX4][CX4]1,epoxide,
"[$([#6]);!$(C=[O,S,N])]C(=O)O[$([#6]);!$(C=[O,S,N])]",ester,
"[$(O([$([CX4,c]);!$(C[O,N,S])])[$([CX4,c]);!$(C[O,N,S])]);!$(O1[CX4][CX4]1)]",ether,
"[OH][CH,CH2]O[CX4,c]",hemiacetal,
O([#6])-C([#6])([#6])-[OH],hemiketal,
"[OH][$([NX3]([C;!$(C=[O,S,N])])[C;!$(C=[O,S,N])]),$([NH][CX4])]",hydroxylamine,
"[$([NH;R0]([C;!$(C=[O,S,N])]))][$([NH;R0][C;!$(C=[O,S,N])])]",hydrazine,
C=N[NH2],hydrazone,
C=NC=O,imide,
C#N-[#6] ,isocyanide,
O=C=N-[#6] ,carbo isocyanate,
S=C=N-[#6],carbo isothiocyanate,
"O([CX4,c])-C([CX4,c])([CX4,c])-O([CX4,c])",ketal,
"[CX4,c]C(=O)[CX4,c]",alpha_hydroxy_ket_or_ald,
